Date,Close,Open,High,Low,Vol.,Change %
13/07/00,"3,85","3,85","3,85","3,85",0.00K,0
14/07/00,4,4,4,4,0.00K,"3,9"
17/07/00,"4,31",4,"4,31",4,0.11K,"7,75"
18/07/00,"4,31","4,31","4,31","4,31",0.01K,0
19/07/00,"4,43","4,31","4,49","4,31",0.13K,"2,78"
25/07/00,"4,43","4,43","4,43","4,43",0.00K,0
28/07/00,"4,09","4,09","4,09","4,09",0.00K,"-7,67"
31/07/00,"4,31","4,31","4,31","4,31",0.01K,"5,38"
02/08/00,"4,12","4,12","4,12","4,12",0.00K,"-4,41"
09/08/00,"4,12","4,12","4,12","4,12",0.08K,0
10/08/00,"4,15","4,15","4,15","4,15",0.00K,"0,73"
14/08/00,"4,18","4,18","4,18","4,18",0.00K,"0,72"
17/08/00,"4,15","4,15","4,15","4,15",0.00K,"-0,72"
18/08/00,"4,31","4,15","4,31","4,15",0.05K,"3,86"
22/08/00,"4,15","4,31","4,31","4,15",0.01K,"-3,71"
23/08/00,"4,15","4,15","4,15","4,15",0.01K,0
24/08/00,"4,15","4,15","4,15","4,15",0.00K,0
25/08/00,"4,34","4,34","4,34","4,34",0.00K,"4,58"
28/08/00,"4,38","4,34","4,38","4,34",0.00K,"0,92"
29/08/00,"4,38","4,4","4,4","4,38",0.01K,0
04/09/00,"4,38","4,38","4,38","4,38",0.00K,0
05/09/00,"4,38","4,38","4,38","4,38",0.01K,0
06/09/00,"4,41","4,38","4,41","4,38",0.02K,"0,68"
11/09/00,"4,6","4,6","4,6","4,6",0.00K,"4,31"
12/09/00,"4,58","4,61","4,71","4,58",0.01K,"-0,43"
14/09/00,"4,55","4,49","4,55","4,49",0.08K,"-0,66"
15/09/00,"4,61","4,55","4,61","4,55",0.02K,"1,32"
18/09/00,"4,61","4,55","4,61","4,55",0.12K,0
19/09/00,"4,64","4,55","4,64","4,55",0.31K,"0,65"
21/09/00,"4,64","4,61","4,64","4,61",0.02K,0
22/09/00,"4,64","4,55","4,64","4,55",0.78K,0
25/09/00,"4,52","4,58","4,58","4,52",0.02K,"-2,59"
26/09/00,"4,58","4,52","4,58","4,52",0.83K,"1,33"
27/09/00,"4,55","4,58","4,58","4,55",0.12K,"-0,66"
28/09/00,"4,68","4,58","4,68","4,58",0.25K,"2,86"
29/09/00,"4,8","4,68","4,83","4,68",0.46K,"2,56"
02/10/00,"4,8","4,65","4,8","4,64",0.22K,0
03/10/00,"4,98","4,8","5,04","4,8",1.27K,"3,75"
04/10/00,"5,08","5,04","5,2","5,04",0.42K,"2,01"
05/10/00,"5,23","5,17","5,24","5,17",0.76K,"2,95"
06/10/00,"5,29","5,23","5,29","5,23",0.35K,"1,15"
09/10/00,"5,31","5,23","5,31","5,23",0.12K,"0,38"
10/10/00,"5,4","5,35","5,41","5,29",0.22K,"1,69"
11/10/00,"5,41","5,38","5,41","5,35",0.02K,"0,19"
13/10/00,"5,32","5,32","5,32","5,32",0.00K,"-1,66"
17/10/00,"5,38","5,17","5,38","5,08",0.72K,"1,13"
18/10/00,"5,38","5,23","5,38","5,23",0.09K,0
19/10/00,"5,43","5,35","5,43","5,35",0.41K,"0,93"
20/10/00,"5,54","5,44","5,97","5,44",0.37K,"2,03"
23/10/00,"1,08","1,12","1,12","1,08",2.52K,"-80,51"
24/10/00,"1,06","1,09","1,09","1,05",0.36K,"-1,85"
25/10/00,"1,05","1,06","1,06","1,01",5.58K,"-0,94"
26/10/00,"1,05","1,05","1,05",1,0.30K,0
27/10/00,"1,07","1,02","1,07","1,02",0.35K,"1,9"
30/10/00,"1,09","1,05","1,1","1,05",0.89K,"1,87"
31/10/00,"1,17","1,06","1,19","1,06",8.74K,"7,34"
01/11/00,"1,2","1,17","1,2","1,15",3.13K,"2,56"
03/11/00,"1,2","1,2","1,2","1,2",1.90K,0
06/11/00,"1,2","1,2","1,2","1,2",0.13K,0
07/11/00,"1,17","1,19","1,2","1,17",1.77K,"-2,5"
08/11/00,"1,18","1,2","1,2","1,18",2.18K,"0,85"
09/11/00,"1,18","1,17","1,2","1,11",0.05K,0
10/11/00,"1,18","1,18","1,18","1,15",1.36K,0
13/11/00,"1,17","1,18","1,18","1,17",2.60K,"-0,85"
14/11/00,"1,14","1,14","1,14","1,14",0.16K,"-2,56"
16/11/00,"1,14","1,14","1,14","1,14",1.24K,0
17/11/00,"1,14","1,14","1,14","1,11",1.39K,0
21/11/00,"1,16","1,17","1,17","1,15",0.22K,"1,75"
22/11/00,"1,14","1,14","1,16","1,14",0.16K,"-1,72"
24/11/00,"1,13","1,12","1,14","1,12",0.25K,"-0,88"
27/11/00,"1,13","1,11","1,13","1,11",0.40K,0
28/11/00,"1,14","1,12","1,14","1,1",0.39K,"0,88"
29/11/00,"1,15","1,13","1,15","1,12",0.54K,"0,88"
30/11/00,"1,2","1,12","1,2","1,12",1.58K,"4,35"
04/12/00,"1,2","1,2","1,22","1,2",0.60K,0
05/12/00,"1,2","1,22","1,22","1,2",0.45K,0
06/12/00,"1,2","1,2","1,2","1,2",0.00K,0
07/12/00,"1,22","1,2","1,22","1,2",0.40K,"1,67"
11/12/00,"1,22","1,22","1,22","1,22",0.03K,0
13/12/00,"1,17","1,17","1,17","1,15",0.44K,"-4,1"
14/12/00,"1,22","1,2","1,22","1,2",3.41K,"4,27"
15/12/00,"1,27","1,22","1,28","1,22",8.52K,"4,1"
18/12/00,"1,26","1,27","1,28","1,26",0.43K,"-0,79"
19/12/00,"1,29","1,29","1,29","1,27",1.80K,"2,38"
20/12/00,"1,28","1,3","1,3","1,26",3.39K,"-0,78"
21/12/00,"1,3","1,31","1,31","1,25",2.53K,"1,56"
22/12/00,"1,27","1,26","1,29","1,26",0.19K,"-2,31"
26/12/00,"1,28","1,28","1,28","1,28",0.02K,"0,79"
27/12/00,"1,41","1,34","1,41","1,34",6.64K,"10,16"
28/12/00,"1,45","1,38","1,45","1,38",2.86K,"2,84"
02/01/01,"1,45","1,45","1,45","1,41",1.68K,0
03/01/01,"1,49","1,45","1,49","1,45",3.92K,"2,76"
04/01/01,"1,48","1,49","1,49","1,45",3.63K,"-0,67"
08/01/01,"1,37","1,4","1,4","1,37",0.77K,"-7,43"
09/01/01,"1,4","1,41","1,41","1,4",0.61K,"2,19"
10/01/01,"1,38","1,4","1,4","1,34",1.24K,"-1,43"
11/01/01,"1,37","1,29","1,37","1,29",0.02K,"-0,72"
12/01/01,"1,37","1,37","1,37","1,37",0.50K,0
16/01/01,"1,37","1,37","1,37","1,37",0.03K,0
17/01/01,"1,45","1,38","1,45","1,36",0.44K,"5,84"
18/01/01,"1,48","1,46","1,48","1,46",0.06K,"2,07"
19/01/01,"1,54","1,49","1,54","1,49",0.15K,"4,05"
22/01/01,"1,54","1,52","1,54","1,51",0.09K,0
23/01/01,"1,52","1,49","1,52","1,49",0.04K,"-1,3"
24/01/01,"1,48","1,52","1,52","1,48",0.06K,"-2,63"
26/01/01,"1,45","1,45","1,46","1,45",0.26K,"-2,03"
29/01/01,"1,54","1,54","1,54","1,52",0.27K,"6,21"
30/01/01,"1,54","1,54","1,54","1,54",0.12K,0
31/01/01,"1,6","1,57","1,66","1,57",0.36K,"3,9"
01/02/01,"1,66","1,66","1,68","1,65",2.23K,"3,75"
02/02/01,"1,63","1,66","1,66","1,6",0.88K,"-1,81"
06/02/01,"1,63","1,63","1,63","1,6",0.64K,0
07/02/01,"1,6","1,63","1,63","1,6",1.57K,"-1,84"
08/02/01,"1,6","1,62","1,62","1,6",0.06K,0
09/02/01,"1,57","1,6","1,6","1,57",0.40K,"-1,87"
12/02/01,"1,57","1,58","1,58","1,57",0.26K,0
13/02/01,"1,54","1,54","1,55","1,54",0.73K,"-1,91"
14/02/01,"1,51","1,52","1,52","1,5",0.43K,"-1,95"
15/02/01,"1,47","1,51","1,51","1,47",0.63K,"-2,65"
16/02/01,"1,43","1,45","1,46","1,41",2.24K,"-2,72"
19/02/01,"1,45","1,44","1,45","1,44",1.02K,"1,4"
20/02/01,"1,46","1,45","1,46","1,43",0.27K,"0,69"
21/02/01,"1,46","1,46","1,46","1,46",1.01K,0
23/02/01,"1,54","1,46","1,54","1,46",0.54K,"5,48"
28/02/01,"1,51","1,51","1,51","1,51",0.03K,"-1,95"
01/03/01,"1,54","1,54","1,54","1,54",0.53K,"1,99"
02/03/01,"1,54","1,54","1,54","1,54",0.51K,0
05/03/01,"1,54","1,54","1,54","1,54",0.76K,0
06/03/01,"1,51","1,55","1,55","1,51",1.12K,"-1,95"
07/03/01,"1,51","1,51","1,54","1,51",1.22K,0
08/03/01,"1,52","1,52","1,52","1,52",0.01K,"0,66"
09/03/01,"1,51","1,53","1,53","1,51",0.16K,"-0,66"
12/03/01,"1,54","1,54","1,54","1,54",0.01K,"1,99"
13/03/01,"1,51","1,51","1,51","1,51",0.03K,"-1,95"
14/03/01,"1,54","1,51","1,54","1,51",0.06K,"1,99"
15/03/01,"1,57","1,55","1,57","1,55",0.30K,"1,95"
