Date,Open,High,Low,Close,Volume
11/11/13,"17,3","17,4","17,02","17,4",7547000
12/11/13,"17,3","17,37","16,76","17,06",11572700
13/11/13,"17,09","17,19","16,83","17,03",6328500
14/11/13,"17,25","17,5","17,05","17,47",14056600
18/11/13,"17,33","17,65","17,31","17,65",10857900
19/11/13,"17,6","17,8","17,03","17,37",9985100
21/11/13,"17,25","17,42","17,15","17,27",7522100
22/11/13,"17,25","17,6","17,16","17,46",6109400
25/11/13,"17,49","17,59","17,05","17,39",6088500
26/11/13,"17,25","17,6","17,2","17,6",10858500
27/11/13,"17,59","17,7","17,23","17,57",6081600
28/11/13,"17,64","17,64","17,33","17,46",3764400
29/11/13,"17,46","17,69","17,37","17,56",5408400
02/12/13,"17,4","17,73","17,37","17,51",9394700
03/12/13,"17,43","17,49","16,85","17,16",12956400
04/12/13,"17,25","17,36","16,6","16,6",23923700
05/12/13,"16,83","17,04","16,6","16,85",10741700
06/12/13,"17,02","17,09","16,71","16,74",9004800
09/12/13,"16,84",17,"16,64","16,99",12360400
10/12/13,"16,95","17,04","16,65","16,8",6006700
11/12/13,"16,8","17,01","16,71","16,87",5106200
12/12/13,"16,85","16,93","16,53","16,6",6630100
13/12/13,"16,7","16,78","16,31","16,41",5949400
16/12/13,"16,39","16,66","16,22","16,51",7405500
17/12/13,"16,56","16,68","16,27","16,5",6671500
18/12/13,"16,59","16,88","16,56","16,7",10423500
19/12/13,17,"17,04","16,66","17,03",7432100
20/12/13,17,"17,04","16,82","16,95",6232300
23/12/13,17,"17,19","16,95","17,07",4834300
26/12/13,17,"17,13","16,94","16,94",3559000
27/12/13,17,"17,22","16,94","17,1",5211700
30/12/13,"17,2","17,39","17,05","17,32",3833300
02/01/14,"17,3","17,5","17,18","17,39",8011000
03/01/14,"17,41","17,44","16,9","16,9",24766000
06/01/14,"16,95","17,09","16,55","16,8",9328400
07/01/14,"17,04","17,4","16,94","17,33",18665300
08/01/14,"17,35","17,57","17,24","17,5",11367000
09/01/14,"17,46","17,49","17,01","17,09",8787000
10/01/14,"17,1","17,23","16,89","17,2",13781500
13/01/14,"17,18","17,27","17,03","17,04",5050800
14/01/14,"17,03","17,32","16,96","17,25",7095200
15/01/14,"17,12","17,2","16,92",17,6145200
16/01/14,"17,02","17,12","16,74","16,78",5800100
17/01/14,"16,82","16,86","16,6","16,64",4752000
20/01/14,"16,63","16,8","16,57","16,7",2751800
21/01/14,"16,77","17,13","16,67","16,9",7026100
22/01/14,"17,01","17,16","16,92","17,14",12101900
23/01/14,17,"17,24","16,55","16,55",15352600
24/01/14,"16,72","16,75","16,1","16,43",13478000
27/01/14,"16,44","16,59","16,04","16,04",7496000
28/01/14,"16,3","16,51","16,1","16,1",10879500
29/01/14,"16,15","16,48","15,82","16,05",10453600
30/01/14,"16,06","16,15","15,66","15,87",7515000
31/01/14,"15,76","16,19","15,5","16,09",13132100
03/02/14,"15,93","16,15","15,41","15,5",13735500
04/02/14,"15,6","15,68","15,27","15,57",9213300
05/02/14,"15,55","15,59","15,15","15,44",11609700
06/02/14,"15,49","16,25","15,38","16,17",13416200
07/02/14,"16,08","16,4","15,92","16,39",7403000
10/02/14,"16,23","16,35","15,96","16,14",5289900
11/02/14,"16,24","16,64","16,16","16,6",7878800
12/02/14,"16,6","16,65","16,15","16,15",9601900
13/02/14,"16,01","16,33","15,75","16,33",9117800
14/02/14,"16,37","16,71","16,32","16,68",12796500
17/02/14,"16,67","16,75","16,54","16,56",3887900
18/02/14,"16,43","16,58","16,15","16,15",9265900
19/02/14,16,"16,34","15,9","16,34",7056200
20/02/14,"16,29","16,76","16,06","16,53",6779500
21/02/14,"16,5","16,86","16,38","16,58",6901800
24/02/14,"16,57","16,78","16,36","16,6",5287700
25/02/14,"16,46","16,84","16,38","16,6",6888600
26/02/14,"16,87","16,99","16,7","16,78",8058300
27/02/14,"16,77","16,99","16,66","16,89",6766000
28/02/14,"16,9","17,03","16,65","16,88",13347100
05/03/14,"16,79","16,99","16,5","16,8",8477300
06/03/14,"16,86","17,01","16,72","16,87",7500800
07/03/14,"16,89","16,98","16,68","16,76",11858900
10/03/14,"16,74","16,76","16,43","16,69",11176500
11/03/14,"16,69","16,89","16,5","16,7",7977600
12/03/14,"16,6","16,73","16,53","16,72",7624500
13/03/14,"16,79","16,81","16,42","16,6",11617900
14/03/14,"16,59","16,59","16,36","16,36",7876200
17/03/14,"16,45","16,69","16,27","16,67",7592400
18/03/14,"16,64","16,81","16,61","16,79",10797000
19/03/14,"16,6","16,85","16,45","16,77",10131200
20/03/14,"16,68","16,81","16,56","16,76",8908400
21/03/14,"16,63","17,14","16,63","16,66",13422300
24/03/14,"16,73","16,82","16,64","16,76",8774500
25/03/14,"16,87","16,89","16,61","16,74",6953700
26/03/14,"16,81","16,86","16,6","16,65",9429300
27/03/14,"16,71","17,05","16,7","17,05",14037200
28/03/14,"17,02","17,15","16,89","16,95",9562300
31/03/14,17,"17,08","16,84","16,95",12152800
01/04/14,"16,91","17,1","16,8","17,1",8456900
02/04/14,"17,13","17,4","17,01","17,3",10001400
03/04/14,"17,2","17,38","17,03","17,18",11105300
04/04/14,"17,34","17,4","16,85","16,9",13662200
07/04/14,"17,11","17,14","16,81","16,9",13242800
08/04/14,"17,05","17,05","16,68","16,82",17892400
09/04/14,"16,78","16,93","16,62","16,8",8181000
10/04/14,"16,78","16,98","16,74","16,98",11258900
11/04/14,"16,89","17,4","16,77","17,4",9640300
14/04/14,"17,38","17,47","17,19","17,37",5698900
15/04/14,"17,2","17,34","16,95","17,34",8347200
16/04/14,"17,34","17,49","17,2","17,49",12174300
17/04/14,"17,48","17,56","17,3","17,39",10654200
22/04/14,"17,34","17,84","17,33","17,84",10885400
23/04/14,"17,79","17,79","17,52","17,63",6273200
24/04/14,"17,69","17,7","17,21","17,4",8664900
25/04/14,"17,37","17,44","17,11","17,27",7585100
28/04/14,"17,18","17,37","17,15","17,24",8414700
29/04/14,"17,4","17,45","17,12","17,16",10039500
30/04/14,"16,6","16,7","16,18","16,3",39124500
02/05/14,"16,2","16,38","15,95","16,01",34124500
05/05/14,"16,12","16,59","16,02","16,5",15801700
06/05/14,"16,52","16,72","16,29","16,65",15107400
07/05/14,"16,6","16,62","16,13","16,3",13842300
08/05/14,"16,32","16,47","16,22","16,3",8708300
09/05/14,"16,3","16,58","16,2","16,53",11118400
12/05/14,"16,62","16,71","16,52","16,68",7264900
13/05/14,"16,66","17,03","16,46","16,6",16782100
14/05/14,"16,67","16,8","16,58","16,7",7468600
15/05/14,"16,6","16,65","16,39","16,5",4994300
16/05/14,"16,54","16,67","16,33","16,55",8085100
19/05/14,"16,58","16,58","16,3","16,49",7715500
20/05/14,"16,42","16,7","16,25","16,3",10321600
21/05/14,"16,34","16,53","16,25","16,5",10919000
22/05/14,"16,44","16,71","16,44","16,71",7596500
23/05/14,"16,66","16,68","16,54","16,58",3834500
26/05/14,"16,65","16,67","16,47","16,65",3502400
27/05/14,"16,68","16,68","16,05","16,12",11292900
28/05/14,"16,19","16,25",16,"16,15",8311400
29/05/14,"16,2","16,23","16,03","16,15",5239800
30/05/14,"16,06","16,22","15,86","15,86",14074900
02/06/14,"15,93","16,32","15,9","16,3",11608000
03/06/14,"16,29","16,42","16,2","16,35",11341700
04/06/14,"16,29","16,33","16,08","16,21",8040500
05/06/14,"16,23","16,33","15,95","16,08",7760400
06/06/14,"16,32","16,39","16,18","16,3",13288600
09/06/14,"16,29","16,45","16,22","16,4",12879700
10/06/14,"16,23","16,4","16,17","16,33",13701200
11/06/14,"16,43","16,5","15,99","16,08",16083200
13/06/14,"16,1","16,18","15,78","15,85",10169100
16/06/14,"15,91",16,"15,65","15,65",12117400
17/06/14,"15,68","15,73","15,44","15,55",5580700
18/06/14,"15,63","15,96","15,61","15,96",9910800
20/06/14,"15,94",16,"15,84",16,6985000
23/06/14,"15,96","16,04","15,64","15,65",6544900
24/06/14,"15,66","15,72","15,57","15,58",11901000
25/06/14,"15,6","15,75","15,51","15,51",9253600
26/06/14,"15,62","15,75","15,51","15,68",8429800
27/06/14,"15,64","15,72","15,5","15,54",6151500
30/06/14,"15,52","15,76","15,5","15,76",10253200
01/07/14,"15,78","16,03","15,71","16,03",7857800
02/07/14,"15,99",16,"15,82",16,9280800
03/07/14,"15,86","16,3","15,83","16,3",9671100
04/07/14,"16,26","16,36","16,07","16,32",2821300
07/07/14,"16,25","16,25","16,02","16,09",7203200
08/07/14,"16,08","16,12","15,92","16,07",5275900
10/07/14,"16,04","16,23","15,65","15,67",30037700
11/07/14,"15,65","15,75","15,62","15,7",10040700
14/07/14,"15,86","15,87","15,5","15,6",16350400
15/07/14,"15,63","15,71","15,52","15,71",14906700
16/07/14,"15,75","16,06","15,7","16,02",12148500
17/07/14,"15,99","16,33","15,94","16,2",11437900
18/07/14,"16,3","16,63","16,26","16,63",19504400
21/07/14,"16,59","16,88","16,51","16,81",9727300
22/07/14,"16,82","16,82","16,56","16,67",8544600
23/07/14,"16,5","16,68","16,39","16,47",7457500
24/07/14,"16,55","16,76","16,51","16,72",5548100
25/07/14,"16,74","16,79","16,57","16,6",12614000
28/07/14,"16,64","16,72","16,46","16,46",8544800
29/07/14,"16,3","16,58","16,22","16,4",5431800
30/07/14,"16,5","16,54","16,37","16,4",7180300
31/07/14,"16,05","16,12","15,62","15,67",20092300
01/08/14,"15,69","15,77","15,55","15,66",10318900
04/08/14,"15,68","15,73","15,42","15,67",11118500
05/08/14,"15,62","15,65","15,27","15,33",11689200
06/08/14,"15,34","15,59","15,01","15,46",25240000
07/08/14,"15,55","15,69","15,5","15,55",9835500
08/08/14,"15,47","15,7","15,45","15,7",13860500
11/08/14,"15,81","15,92","15,69","15,87",8927400
12/08/14,"15,77","15,94","15,7","15,83",6145700
13/08/14,"15,83","15,93","15,43","15,69",15057500
14/08/14,"15,59","15,72","15,54","15,72",7121800
15/08/14,"15,81","15,94","15,62","15,9",9714500
18/08/14,"15,99","16,15","15,91","16,14",15492000
19/08/14,"16,19","16,35","16,07","16,3",20017500
20/08/14,"16,23","16,45","16,21","16,38",8080600
21/08/14,"16,35","16,44","16,1","16,31",10371600
22/08/14,"16,22","16,35","16,12","16,25",10646200
25/08/14,"16,39","16,71","16,31","16,62",9755700
26/08/14,"16,67","16,79","16,4","16,55",9071400
27/08/14,"16,66","16,66","16,45","16,55",13137200
28/08/14,"16,45","16,64","16,27","16,33",11740900
29/08/14,"16,5","16,5","16,23","16,3",21436200
01/09/14,"16,42","16,49","15,94","15,96",8296700
02/09/14,"16,05","16,15","15,84","15,97",11744500
03/09/14,"15,97","16,29","15,97","16,23",9600200
04/09/14,"16,16","16,35","16,05","16,35",9962600
05/09/14,"16,3","16,38",16,16,7072700
08/09/14,"16,2","16,23","15,74","15,76",11140200
09/09/14,"15,62","15,78","15,57","15,7",13819200
10/09/14,"15,58","15,93","15,53","15,93",10825400
11/09/14,16,"16,13","15,8","15,8",9194700
12/09/14,"15,6",16,"15,47","15,47",16301300
15/09/14,"15,54","16,05","15,52","16,05",10730700
16/09/14,"16,05","16,52",16,"16,23",16372600
17/09/14,"16,35","16,41","15,91","15,95",13529100
18/09/14,"15,96","16,45","15,81","16,18",19647800
19/09/14,"16,2","16,53","16,12","16,4",14591600
22/09/14,"16,18","16,48","16,16","16,44",12101000
23/09/14,"16,21","16,45","16,18","16,39",9367200
24/09/14,"16,41","16,54","16,13","16,5",9900300
25/09/14,"16,35","16,48","16,17","16,36",10680500
26/09/14,"16,4","16,56","16,24","16,41",7623800
