Date,Open,High,Low,Close,Volume
20-Jul-17,18.76,18.89,18.71,18.78,7840500
19-Jul-17,18.88,18.88,18.66,18.82,7911100
18-Jul-17,18.88,18.88,18.65,18.75,6018300
17-Jul-17,18.80,18.92,18.71,18.84,10140000
14-Jul-17,18.69,18.83,18.66,18.75,5512500
13-Jul-17,18.74,18.76,18.55,18.68,6499700
12-Jul-17,18.60,18.77,18.48,18.65,13149700
11-Jul-17,18.31,18.63,18.22,18.52,10149400
10-Jul-17,18.05,18.38,18.00,18.31,10139600
7-Jul-17,17.87,18.16,17.83,18.02,14316800
6-Jul-17,18.22,18.24,17.72,17.78,19264900
5-Jul-17,18.22,18.38,18.13,18.22,9158400
4-Jul-17,18.19,18.31,18.19,18.24,2678500
3-Jul-17,18.36,18.44,18.20,18.28,5340400
30-Jun-17,18.27,18.42,18.25,18.31,6950500
29-Jun-17,18.30,18.36,18.10,18.25,6238700
28-Jun-17,18.37,18.41,18.14,18.30,8750600
27-Jun-17,18.27,18.36,18.06,18.29,23283300
26-Jun-17,18.23,18.39,18.17,18.27,7484500
23-Jun-17,18.30,18.31,18.11,18.24,4615600
22-Jun-17,18.16,18.32,18.10,18.20,7718100
21-Jun-17,18.08,18.27,17.99,18.13,11812300
20-Jun-17,17.89,18.27,17.81,18.07,22672600
19-Jun-17,17.84,17.99,17.66,17.87,18886900
16-Jun-17,18.22,18.22,17.74,17.78,45422100
14-Jun-17,18.36,18.49,18.00,18.18,25725900
13-Jun-17,18.11,18.42,18.11,18.39,13078100
12-Jun-17,18.06,18.20,17.93,18.08,14437400
9-Jun-17,18.62,18.67,17.98,18.11,19881100
8-Jun-17,18.73,18.79,18.53,18.53,13753000
7-Jun-17,19.15,19.21,18.74,18.84,12360300
6-Jun-17,18.86,19.18,18.85,19.07,15888200
5-Jun-17,18.52,18.98,18.50,18.91,16492100
2-Jun-17,18.61,18.76,18.31,18.57,27924500
1-Jun-17,18.72,18.83,18.53,18.55,17818500
31-May-17,18.81,18.88,18.62,18.71,14473800
30-May-17,18.91,18.94,18.79,18.79,9426700
29-May-17,18.99,18.99,18.80,18.88,4544200
26-May-17,19.00,19.08,18.83,19.03,11818800
25-May-17,18.96,19.04,18.77,18.92,8840600
24-May-17,19.08,19.14,18.84,18.86,10182300
23-May-17,18.57,18.98,18.57,18.89,16456700
22-May-17,18.44,18.83,18.44,18.57,25818900
19-May-17,18.68,18.99,18.40,18.62,27392000
18-May-17,18.25,19.21,18.05,18.80,47040600
17-May-17,19.67,19.92,19.51,19.64,12201000
16-May-17,19.68,19.86,19.61,19.82,13410700
15-May-17,19.70,19.85,19.48,19.74,10806300
12-May-17,19.57,19.79,19.48,19.69,10653400
11-May-17,19.15,19.58,19.12,19.53,22815200
10-May-17,19.00,19.25,18.94,19.19,11327700
9-May-17,18.94,19.06,18.80,18.95,11318700
8-May-17,18.84,18.93,18.77,18.89,9406400
5-May-17,18.94,19.03,18.86,18.90,8515300
4-May-17,18.60,19.23,18.47,19.03,35518900
3-May-17,18.57,18.63,18.34,18.56,9621900
2-May-17,18.37,18.63,18.27,18.57,11281800
28-Apr-17,18.20,18.40,18.12,18.26,10386300
27-Apr-17,18.22,18.24,18.01,18.20,12839100
26-Apr-17,18.30,18.31,18.10,18.21,7981900
25-Apr-17,18.03,18.40,17.97,18.32,12046800
24-Apr-17,18.15,18.18,17.96,18.03,9172300
20-Apr-17,17.99,18.19,17.92,17.98,11178400
19-Apr-17,18.17,18.19,17.99,18.10,24666600
18-Apr-17,18.01,18.24,18.01,18.16,11845300
17-Apr-17,17.80,18.14,17.72,18.06,11642200
13-Apr-17,17.57,17.91,17.50,17.76,14976200
12-Apr-17,17.65,17.82,17.56,17.67,19694500
11-Apr-17,18.00,18.06,17.40,17.62,24847000
10-Apr-17,18.10,18.14,17.91,18.00,15470600
7-Apr-17,18.00,18.13,17.92,18.05,8061200
6-Apr-17,17.88,18.05,17.77,17.98,9728000
5-Apr-17,18.08,18.18,17.81,17.88,8660600
4-Apr-17,18.01,18.11,17.88,18.11,5529700
3-Apr-17,18.20,18.24,18.00,18.00,13484000
31-Mar-17,18.22,18.37,18.17,18.24,12278800
30-Mar-17,18.17,18.33,18.07,18.27,9164200
29-Mar-17,17.94,18.18,17.88,18.18,9497400
28-Mar-17,17.75,17.94,17.69,17.94,9857400
27-Mar-17,17.53,17.83,17.50,17.79,8715600
24-Mar-17,17.43,17.63,17.42,17.63,7800000
23-Mar-17,17.19,17.59,17.13,17.44,9142200
22-Mar-17,17.37,17.47,17.15,17.31,8523800
21-Mar-17,17.70,17.70,17.38,17.42,10136300
20-Mar-17,17.35,17.78,17.35,17.64,14222500
17-Mar-17,17.34,17.46,17.10,17.21,17096100
16-Mar-17,17.31,17.39,17.13,17.28,5854400
15-Mar-17,17.01,17.34,17.01,17.30,12782500
14-Mar-17,17.31,17.41,17.10,17.10,7289600
13-Mar-17,17.35,17.49,17.30,17.36,6253300
10-Mar-17,17.35,17.47,17.25,17.30,12386500
9-Mar-17,17.10,17.38,17.06,17.30,13084700
8-Mar-17,16.83,17.23,16.75,17.12,21297600
7-Mar-17,17.20,17.22,16.82,16.82,17651100
6-Mar-17,17.34,17.38,17.01,17.25,11989900
3-Mar-17,17.27,17.44,17.08,17.39,12016300
2-Mar-17,17.30,17.47,17.15,17.21,19515700
1-Mar-17,17.99,18.16,17.82,17.91,8762400
24-Feb-17,18.00,18.09,17.79,17.84,12946300
23-Feb-17,18.31,18.59,18.11,18.13,10925500
22-Feb-17,18.12,18.40,18.11,18.28,11232800
21-Feb-17,17.93,18.10,17.85,18.07,8323600
20-Feb-17,17.98,18.01,17.78,17.84,3507600
17-Feb-17,17.95,18.01,17.80,17.90,7025800
16-Feb-17,17.89,18.06,17.85,17.97,12169400
15-Feb-17,17.50,18.08,17.46,18.02,18161900
14-Feb-17,17.28,17.53,17.23,17.38,10668300
13-Feb-17,17.21,17.37,17.06,17.25,8812100
10-Feb-17,16.89,17.23,16.79,17.14,12688200
9-Feb-17,16.99,17.08,16.83,16.89,11002200
