Date,Open,High,Low,Close,Volume,,,Mean,Std,Min,"25,00%","50,00%","75,00%",Max
16/06/17,"18,22","18,22","17,74","17,78",45422100,,Open,"17,8239189189189","1,29334789348276","15,02","16,64",18,"18,99","20,4"
14/06/17,"18,36","18,49",18,"18,18",25725900,,High,"18,0139527027027","1,28488025842176","15,48","16,8","18,18","19,1725","20,46"
13/06/17,"18,11","18,42","18,11","18,39",13078100,,Low,"17,6293468468469","1,29778521819744","14,95","16,46","17,815","18,7825","20,19"
12/06/17,"18,06","18,2","17,93","18,08",14437400,,Close,"17,8318581081081","1,29491853727385","15,2","16,64",18,"18,9825","20,35"
09/06/17,"18,62","18,67","17,98","18,11",19881100,,Volume,"12126211,9369369","5713186,22994283",2539800,8672325,10896300,14009450,47040600
08/06/17,"18,73","18,79","18,53","18,53",13753000,,,,,,,,,
07/06/17,"19,15","19,21","18,74","18,84",12360300,,,,,,,,,
06/06/17,"18,86","19,18","18,85","19,07",15888200,,,,,,,,,
05/06/17,"18,52","18,98","18,5","18,91",16492100,,,,,,,,,
02/06/17,"18,61","18,76","18,31","18,57",27924500,,,,,,,,,
01/06/17,"18,72","18,83","18,53","18,55",17818500,,,,,,,,,
31/05/17,"18,81","18,88","18,62","18,71",14473800,,,,,,,,,
30/05/17,"18,91","18,94","18,79","18,79",9426700,,,,,,,,,
29/05/17,"18,99","18,99","18,8","18,88",4544200,,,,,,,,,
26/05/17,19,"19,08","18,83","19,03",11818800,,,,,,,,,
25/05/17,"18,96","19,04","18,77","18,92",8840600,,,,,,,,,
24/05/17,"19,08","19,14","18,84","18,86",10182300,,,,,,,,,
23/05/17,"18,57","18,98","18,57","18,89",16456700,,,,,,,,,
22/05/17,"18,44","18,83","18,44","18,57",25818900,,,,,,,,,
19/05/17,"18,68","18,99","18,4","18,62",27392000,,,,,,,,,
18/05/17,"18,25","19,21","18,05","18,8",47040600,,,,,,,,,
17/05/17,"19,67","19,92","19,51","19,64",12201000,,,,,,,,,
16/05/17,"19,68","19,86","19,61","19,82",13410700,,,,,,,,,
15/05/17,"19,7","19,85","19,48","19,74",10806300,,,,,,,,,
12/05/17,"19,57","19,79","19,48","19,69",10653400,,,,,,,,,
11/05/17,"19,15","19,58","19,12","19,53",22815200,,,,,,,,,
10/05/17,19,"19,25","18,94","19,19",11327700,,,,,,,,,
09/05/17,"18,94","19,06","18,8","18,95",11318700,,,,,,,,,
08/05/17,"18,84","18,93","18,77","18,89",9406400,,,,,,,,,
05/05/17,"18,94","19,03","18,86","18,9",8515300,,,,,,,,,
04/05/17,"18,6","19,23","18,47","19,03",35518900,,,,,,,,,
03/05/17,"18,57","18,63","18,34","18,56",9621900,,,,,,,,,
02/05/17,"18,37","18,63","18,27","18,57",11281800,,,,,,,,,
28/04/17,"18,2","18,4","18,12","18,26",10386300,,,,,,,,,
27/04/17,"18,22","18,24","18,01","18,2",12839100,,,,,,,,,
26/04/17,"18,3","18,31","18,1","18,21",7981900,,,,,,,,,
25/04/17,"18,03","18,4","17,97","18,32",12046800,,,,,,,,,
24/04/17,"18,15","18,18","17,96","18,03",9172300,,,,,,,,,
20/04/17,"17,99","18,19","17,92","17,98",11178400,,,,,,,,,
19/04/17,"18,17","18,19","17,99","18,1",24666600,,,,,,,,,
18/04/17,"18,01","18,24","18,01","18,16",11845300,,,,,,,,,
17/04/17,"17,8","18,14","17,72","18,06",11642200,,,,,,,,,
13/04/17,"17,57","17,91","17,5","17,76",14976200,,,,,,,,,
12/04/17,"17,65","17,82","17,56","17,67",19694500,,,,,,,,,
11/04/17,18,"18,06","17,4","17,62",24847000,,,,,,,,,
10/04/17,"18,1","18,14","17,91",18,15470600,,,,,,,,,
07/04/17,18,"18,13","17,92","18,05",8061200,,,,,,,,,
06/04/17,"17,88","18,05","17,77","17,98",9728000,,,,,,,,,
05/04/17,"18,08","18,18","17,81","17,88",8660600,,,,,,,,,
04/04/17,"18,01","18,11","17,88","18,11",5529700,,,,,,,,,
03/04/17,"18,2","18,24",18,18,13484000,,,,,,,,,
31/03/17,"18,22","18,37","18,17","18,24",12278800,,,,,,,,,
30/03/17,"18,17","18,33","18,07","18,27",9164200,,,,,,,,,
29/03/17,"17,94","18,18","17,88","18,18",9497400,,,,,,,,,
28/03/17,"17,75","17,94","17,69","17,94",9857400,,,,,,,,,
27/03/17,"17,53","17,83","17,5","17,79",8715600,,,,,,,,,
24/03/17,"17,43","17,63","17,42","17,63",7800000,,,,,,,,,
23/03/17,"17,19","17,59","17,13","17,44",9142200,,,,,,,,,
22/03/17,"17,37","17,47","17,15","17,31",8523800,,,,,,,,,
21/03/17,"17,7","17,7","17,38","17,42",10136300,,,,,,,,,
20/03/17,"17,35","17,78","17,35","17,64",14222500,,,,,,,,,
17/03/17,"17,34","17,46","17,1","17,21",17096100,,,,,,,,,
16/03/17,"17,31","17,39","17,13","17,28",5854400,,,,,,,,,
15/03/17,"17,01","17,34","17,01","17,3",12782500,,,,,,,,,
14/03/17,"17,31","17,41","17,1","17,1",7289600,,,,,,,,,
13/03/17,"17,35","17,49","17,3","17,36",6253300,,,,,,,,,
10/03/17,"17,35","17,47","17,25","17,3",12386500,,,,,,,,,
09/03/17,"17,1","17,38","17,06","17,3",13084700,,,,,,,,,
08/03/17,"16,83","17,23","16,75","17,12",21297600,,,,,,,,,
07/03/17,"17,2","17,22","16,82","16,82",17651100,,,,,,,,,
06/03/17,"17,34","17,38","17,01","17,25",11989900,,,,,,,,,
03/03/17,"17,27","17,44","17,08","17,39",12016300,,,,,,,,,
02/03/17,"17,3","17,47","17,15","17,21",19515700,,,,,,,,,
01/03/17,"17,99","18,16","17,82","17,91",8762400,,,,,,,,,
24/02/17,18,"18,09","17,79","17,84",12946300,,,,,,,,,
23/02/17,"18,31","18,59","18,11","18,13",10925500,,,,,,,,,
22/02/17,"18,12","18,4","18,11","18,28",11232800,,,,,,,,,
21/02/17,"17,93","18,1","17,85","18,07",8323600,,,,,,,,,
20/02/17,"17,98","18,01","17,78","17,84",3507600,,,,,,,,,
17/02/17,"17,95","18,01","17,8","17,9",7025800,,,,,,,,,
16/02/17,"17,89","18,06","17,85","17,97",12169400,,,,,,,,,
15/02/17,"17,5","18,08","17,46","18,02",18161900,,,,,,,,,
14/02/17,"17,28","17,53","17,23","17,38",10668300,,,,,,,,,
13/02/17,"17,21","17,37","17,06","17,25",8812100,,,,,,,,,
10/02/17,"16,89","17,23","16,79","17,14",12688200,,,,,,,,,
09/02/17,"16,99","17,08","16,83","16,89",11002200,,,,,,,,,
08/02/17,"17,03","17,1","16,81","16,96",13096700,,,,,,,,,
07/02/17,"17,1","17,26","17,02","17,02",9300200,,,,,,,,,
06/02/17,"17,39","17,39","17,03","17,07",6596100,,,,,,,,,
03/02/17,"17,07","17,4","16,94","17,35",13562500,,,,,,,,,
02/02/17,"17,24","17,34","17,11","17,16",6398900,,,,,,,,,
01/02/17,"17,27","17,43","17,23","17,32",10992500,,,,,,,,,
31/01/17,"16,93","17,25","16,91","17,2",7057100,,,,,,,,,
30/01/17,"17,24","17,32","16,89","16,97",6124600,,,,,,,,,
27/01/17,"17,3","17,39","17,02","17,32",13214700,,,,,,,,,
26/01/17,"17,36","17,47","17,3","17,31",7789000,,,,,,,,,
24/01/17,"17,28","17,45","17,13","17,3",11136000,,,,,,,,,
23/01/17,"17,31","17,4","17,17","17,34",6555000,,,,,,,,,
20/01/17,"17,5","17,5","17,17","17,35",9858700,,,,,,,,,
