trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 1.0}",25,0,-137.27223263239853,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.85, 'e': 0.25}",35,0,-52.88863583945078,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.85, 'e': 0.1111111111111111}",20,0,-20.851161740492213,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.85, 'e': 0.0625}",25,0,-83.07407245680092,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.85, 'e': 0.04}",25,0,-74.66901389773602,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
6,False,"{'a': 0.85, 'e': 0.027777777777777776}",25,0,-39.01387043492647,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.85, 'e': 0.02040816326530612}",20,0,-15.705838859288287,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.85, 'e': 0.015625}",20,0,25.567140771089978,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.85, 'e': 0.012345679012345678}",25,0,-53.67638401423784,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
10,False,"{'a': 0.85, 'e': 0.01}",30,0,9.876387429813422,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.85, 'e': 0.008264462809917356}",20,0,-24.66107001190344,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.85, 'e': 0.006944444444444444}",20,0,24.919290987893593,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.85, 'e': 0.005917159763313609}",25,0,38.417667665825476,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.85, 'e': 0.00510204081632653}",20,3,-20.99300450909048,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
15,False,"{'a': 0.85, 'e': 0.0044444444444444444}",25,0,27.843649962197603,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.85, 'e': 0.00390625}",25,0,30.349486653505743,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.85, 'e': 0.0034602076124567475}",25,0,36.85790017878198,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.85, 'e': 0.0030864197530864196}",30,0,38.06143874862481,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.85, 'e': 0.002770083102493075}",20,0,-32.40530644966996,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.85, 'e': 0.0025}",20,0,-21.98195429522649,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.85, 'e': 0.0022675736961451248}",25,7,-11.832319124167212,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.85, 'e': 0.002066115702479339}",20,5,23.798271351009756,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.85, 'e': 0.001890359168241966}",20,7,23.614246780036552,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.85, 'e': 0.001736111111111111}",20,0,27.09275835432141,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.85, 'e': 0.0016}",20,12,9.47609609358081,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.85, 'e': 0.0014792899408284023}",20,8,-17.712021403422444,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.85, 'e': 0.0013717421124828531}",20,7,21.215783563649676,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.85, 'e': 0.0012755102040816326}",25,7,28.809133354904233,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.85, 'e': 0.0011890606420927466}",20,16,7.6744320908954125,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.85, 'e': 0.0011111111111111111}",20,0,26.57902294343788,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.85, 'e': 0.001040582726326743}",25,2,40.89680619751373,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.85, 'e': 0.0009765625}",25,11,27.606670192746133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.85, 'e': 0.0009182736455463728}",30,20,17.0588081701503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.85, 'e': 0.0008650519031141869}",25,8,31.087582661330824,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.85, 'e': 0.0008163265306122449}",25,7,30.770174844660705,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.85, 'e': 0.0007716049382716049}",25,8,29.87273995398356,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.85, 'e': 0.0007304601899196494}",20,7,-19.05269837049236,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.85, 'e': 0.0006925207756232687}",20,10,16.409220918816622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.85, 'e': 0.0006574621959237344}",25,17,14.45254544629773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.85, 'e': 0.000625}",25,0,31.1557717878258,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.85, 'e': 0.000594883997620464}",20,0,35.51737025137178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.85, 'e': 0.0005668934240362812}",25,13,-19.42289331288844,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.85, 'e': 0.0005408328826392645}",25,12,20.901953037353916,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.85, 'e': 0.0005165289256198347}",20,0,7.394852828808278,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
45,False,"{'a': 0.85, 'e': 0.0004938271604938272}",25,12,21.721564442814383,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.85, 'e': 0.0004725897920604915}",20,9,-20.67016906870462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.85, 'e': 0.0004526935264825713}",25,16,19.72452377298071,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.85, 'e': 0.00043402777777777775}",25,17,14.178762998101778,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.85, 'e': 0.00041649312786339027}",25,10,9.082791578050873,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.85, 'e': 0.0004}",25,2,31.51914630576646,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.85, 'e': 0.00038446751249519417}",20,0,29.902475593707592,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.85, 'e': 0.0003698224852071006}",20,7,24.10963045914906,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.85, 'e': 0.000355998576005696}",20,7,21.642209831757867,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.85, 'e': 0.0003429355281207133}",20,7,22.066168725749286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.85, 'e': 0.00033057851239669424}",25,11,22.719679228951392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.85, 'e': 0.00031887755102040814}",25,6,36.61282002411189,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.85, 'e': 0.0003077870113881194}",20,13,12.728902250529426,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.85, 'e': 0.00029726516052318666}",20,0,29.800951269056988,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.85, 'e': 0.0002872737719046251}",25,0,37.63697904066907,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.85, 'e': 0.0002777777777777778}",25,14,21.901193328474914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.85, 'e': 0.0002687449610319806}",25,0,30.17722115713473,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.85, 'e': 0.00026014568158168577}",20,10,14.507756381163247,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.85, 'e': 0.0002519526329050139}",30,14,18.83064970315099,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.85, 'e': 0.000244140625}",20,16,8.093182713374159,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.85, 'e': 0.00023668639053254438}",20,8,20.66120997582393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.85, 'e': 0.0002295684113865932}",20,16,9.575868362202455,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.85, 'e': 0.00022276676319893073}",25,15,18.595991875219774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.85, 'e': 0.00021626297577854672}",20,0,32.8380747954104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.85, 'e': 0.00021003990758244065}",20,8,19.39944327917423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.85, 'e': 0.00020408163265306123}",20,15,4.726016190920518,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.85, 'e': 0.00019837333862328903}",30,14,32.97246881973943,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.85, 'e': 0.00019290123456790122}",30,3,47.80722334085602,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.85, 'e': 0.00018765246762994934}",25,1,34.614381902014316,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.85, 'e': 0.00018261504747991235}",25,7,11.681360357182424,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.85, 'e': 0.00017777777777777779}",20,2,23.80314178994169,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.85, 'e': 0.00017313019390581717}",20,8,17.811900012960542,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.85, 'e': 0.00016866250632484398}",20,12,12.616831696639442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.85, 'e': 0.0001643655489809336}",25,4,28.40016807831274,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
