trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,7,-207.26210081773175,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 3}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.00439800727179,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.08781855131676,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.3441644993022,"{0: 13, 1: 5, 2: 10, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,15,-87.38856545815743,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.09679727126219,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-268.79660359745435,"{0: 16, 1: 2, 2: 4, 3: 4, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.53432481013763,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.7647346241805,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.3392407480169,"{0: 9, 1: 3, 2: 9, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.38286891994485,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,14,-67.376366731126,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.77940725542678,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.2885433415881,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.05039441006535,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.8823552317304,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.5595820107119,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-55.736372489517485,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.63052767863662,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.12227379125707,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.65196432957174,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.9784414727024,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.31392277790275,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,4,-66.5072332931853,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.73694708175209,"{0: 21, 1: 3, 2: 2, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.1146365286334,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,15,-59.06684982738357,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.60279653785284,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.44772578371402,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.7865173632209,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
